Provincias de destino;Procedencia de los viajeros;Meses;Total
Coruña, A;Residentes en España;Enero;1,44
Coruña, A;Residentes en España;Febrero;1,43
Coruña, A;Residentes en España;Marzo;1,35
Coruña, A;Residentes en España;Abril;1,51
Coruña, A;Residentes en España;Mayo;1,32
Coruña, A;Residentes en España;Junio;1,45
Coruña, A;Residentes en España;Julio;1,94
Coruña, A;Residentes en España;Agosto;2,29
Coruña, A;Residentes en España;Septiembre;1,57
Coruña, A;Residentes en España;Octubre;1,42
Coruña, A;Residentes en España;Noviembre;1,56
Coruña, A;Residentes en España;Diciembre;1,71
Coruña, A;No Residentes en España;Total;1,42
Coruña, A;No Residentes en España;Enero;1,25
Coruña, A;No Residentes en España;Febrero;1,22
Coruña, A;No Residentes en España;Marzo;1,41
Coruña, A;No Residentes en España;Abril;1,2
Coruña, A;No Residentes en España;Mayo;1,16
Coruña, A;No Residentes en España;Junio;1,25
Coruña, A;No Residentes en España;Julio;1,73
Coruña, A;No Residentes en España;Agosto;2,03
Coruña, A;No Residentes en España;Septiembre;1,25
Coruña, A;No Residentes en España;Octubre;1,25
Coruña, A;No Residentes en España;Noviembre;1,78
Coruña, A;No Residentes en España;Diciembre;1,21
Cuenca;Total;Total;2,81
Cuenca;Total;Enero;3,72
Cuenca;Total;Febrero;2,71
Cuenca;Total;Marzo;2,57
Cuenca;Total;Abril;2,95
Cuenca;Total;Mayo;2,78
Cuenca;Total;Junio;2,41
Cuenca;Total;Julio;2,52
Cuenca;Total;Agosto;3,95
Cuenca;Total;Septiembre;2,79
Cuenca;Total;Octubre;2,75
Cuenca;Total;Noviembre;2,5
Cuenca;Total;Diciembre;2,41
Cuenca;Residentes en España;Total;2,72
Cuenca;Residentes en España;Enero;3,72
Cuenca;Residentes en España;Febrero;2,59
Cuenca;Residentes en España;Marzo;2,57
Cuenca;Residentes en España;Abril;2,99
Cuenca;Residentes en España;Mayo;2,86
Cuenca;Residentes en España;Junio;2,41
Cuenca;Residentes en España;Julio;2,57
Cuenca;Residentes en España;Agosto;3,76
Cuenca;Residentes en España;Septiembre;2,45
Cuenca;Residentes en España;Octubre;2,45
Cuenca;Residentes en España;Noviembre;2,38
Cuenca;Residentes en España;Diciembre;2,42
Cuenca;No Residentes en España;Total;4,59
Cuenca;No Residentes en España;Enero;0
Cuenca;No Residentes en España;Febrero;9,26
Cuenca;No Residentes en España;Marzo;3,15
Cuenca;No Residentes en España;Abril;1,98
Cuenca;No Residentes en España;Mayo;1,65
Cuenca;No Residentes en España;Junio;2,15
Cuenca;No Residentes en España;Julio;1,65
Cuenca;No Residentes en España;Agosto;6,54
Cuenca;No Residentes en España;Septiembre;7,8
Cuenca;No Residentes en España;Octubre;6,91
Cuenca;No Residentes en España;Noviembre;5,37
Cuenca;No Residentes en España;Diciembre;2,24
Gipuzkoa;Total;Total;2,72
Gipuzkoa;Total;Enero;2,52
Gipuzkoa;Total;Febrero;2,47
Gipuzkoa;Total;Marzo;2,23
Gipuzkoa;Total;Abril;2,55
Gipuzkoa;Total;Mayo;2,43
Gipuzkoa;Total;Junio;2,48
Gipuzkoa;Total;Julio;3,4
Gipuzkoa;Total;Agosto;3,62
Gipuzkoa;Total;Septiembre;2,44
Gipuzkoa;Total;Octubre;2,18
Gipuzkoa;Total;Noviembre;2,3
Gipuzkoa;Total;Diciembre;2,39
Gipuzkoa;Residentes en España;Total;2,77
Gipuzkoa;Residentes en España;Enero;2,02
Gipuzkoa;Residentes en España;Febrero;2,18
Gipuzkoa;Residentes en España;Marzo;2,19
Gipuzkoa;Residentes en España;Abril;2,62
Gipuzkoa;Residentes en España;Mayo;2,5
Gipuzkoa;Residentes en España;Junio;2,5
Gipuzkoa;Residentes en España;Julio;3,43
Gipuzkoa;Residentes en España;Agosto;3,89
Gipuzkoa;Residentes en España;Septiembre;2,51
Gipuzkoa;Residentes en España;Octubre;2,25
Gipuzkoa;Residentes en España;Noviembre;2,28
Gipuzkoa;Residentes en España;Diciembre;2,38
Gipuzkoa;No Residentes en España;Total;2,59
Gipuzkoa;No Residentes en España;Enero;6,06
Gipuzkoa;No Residentes en España;Febrero;4,22
Gipuzkoa;No Residentes en España;Marzo;2,44
Gipuzkoa;No Residentes en España;Abril;2,22
Gipuzkoa;No Residentes en España;Mayo;2,3
Gipuzkoa;No Residentes en España;Junio;2,42
Gipuzkoa;No Residentes en España;Julio;3,33
Gipuzkoa;No Residentes en España;Agosto;2,72
Gipuzkoa;No Residentes en España;Septiembre;2,29
Gipuzkoa;No Residentes en España;Octubre;2,01
Gipuzkoa;No Residentes en España;Noviembre;2,38
Gipuzkoa;No Residentes en España;Diciembre;2,44
Girona;Total;Total;2,68
Girona;Total;Enero;2,15
Girona;Total;Febrero;2,18
Girona;Total;Marzo;1,99
Girona;Total;Abril;2,4
Girona;Total;Mayo;2,07
Girona;Total;Junio;2,29
Girona;Total;Julio;3,32
Girona;Total;Agosto;4,65
Girona;Total;Septiembre;2,21
Girona;Total;Octubre;2,11
Girona;Total;Noviembre;2,08
Girona;Total;Diciembre;2,42
Girona;Residentes en España;Total;2,48
Girona;Residentes en España;Enero;2,1
Girona;Residentes en España;Febrero;1,99
Girona;Residentes en España;Marzo;1,8
Girona;Residentes en España;Abril;2,38
Girona;Residentes en España;Mayo;1,95
Girona;Residentes en España;Junio;2,24
Girona;Residentes en España;Julio;2,84
Girona;Residentes en España;Agosto;4,48
Girona;Residentes en España;Septiembre;2,12
Girona;Residentes en España;Octubre;2,1
Girona;Residentes en España;Noviembre;2,07
Girona;Residentes en España;Diciembre;2,4
Girona;No Residentes en España;Total;3,55
Girona;No Residentes en España;Enero;3,3
Girona;No Residentes en España;Febrero;5,47
Girona;No Residentes en España;Marzo;6,26
Girona;No Residentes en España;Abril;2,49
Girona;No Residentes en España;Mayo;2,62
Girona;No Residentes en España;Junio;2,52
Girona;No Residentes en España;Julio;4,33
Girona;No Residentes en España;Agosto;5,08
Girona;No Residentes en España;Septiembre;2,55
Girona;No Residentes en España;Octubre;2,15
Girona;No Residentes en España;Noviembre;2,13
Girona;No Residentes en España;Diciembre;2,53
Granada;Total;Total;2,56
Granada;Total;Enero;2,4
Granada;Total;Febrero;2,12
Granada;Total;Marzo;2,14
Granada;Total;Abril;2,37
Granada;Total;Mayo;2,34
Granada;Total;Junio;2,42
Granada;Total;Julio;3,07
Granada;Total;Agosto;3,77
Granada;Total;Septiembre;2,61
Granada;Total;Octubre;2,44
Granada;Total;Noviembre;1,86
Granada;Total;Diciembre;2,07
Granada;Residentes en España;Total;2,11
Granada;Residentes en España;Enero;2,05
Granada;Residentes en España;Febrero;1,85
Granada;Residentes en España;Marzo;1,98
Granada;Residentes en España;Abril;2,16
Granada;Residentes en España;Mayo;1,8
Granada;Residentes en España;Junio;1,62
Granada;Residentes en España;Julio;2,39
Granada;Residentes en España;Agosto;3,26
Granada;Residentes en España;Septiembre;1,92
Granada;Residentes en España;Octubre;1,68
Granada;Residentes en España;Noviembre;1,67
Granada;Residentes en España;Diciembre;2,07
Granada;No Residentes en España;Total;3,49
Granada;No Residentes en España;Enero;3,72
Granada;No Residentes en España;Febrero;3,47
Granada;No Residentes en España;Marzo;2,6
Granada;No Residentes en España;Abril;3,04
Granada;No Residentes en España;Mayo;3,01
Granada;No Residentes en España;Junio;3,31
Granada;No Residentes en España;Julio;4,38
Granada;No Residentes en España;Agosto;4,87
Granada;No Residentes en España;Septiembre;3,4
Granada;No Residentes en España;Octubre;3,48
Granada;No Residentes en España;Noviembre;2,33
Granada;No Residentes en España;Diciembre;2,12
Guadalajara;Total;Total;2,39
Guadalajara;Total;Enero;2,47
Guadalajara;Total;Febrero;1,84
Guadalajara;Total;Marzo;1,78
Guadalajara;Total;Abril;2,21
Guadalajara;Total;Mayo;2,21
Guadalajara;Total;Junio;2,43
Guadalajara;Total;Julio;2,67
Guadalajara;Total;Agosto;3,34
Guadalajara;Total;Septiembre;2,18
Guadalajara;Total;Octubre;2,23
Guadalajara;Total;Noviembre;2,22
Guadalajara;Total;Diciembre;2,54
Guadalajara;Residentes en España;Total;2,4
Guadalajara;Residentes en España;Enero;2,52
Guadalajara;Residentes en España;Febrero;1,86
Guadalajara;Residentes en España;Marzo;1,75
Guadalajara;Residentes en España;Abril;2,23
Guadalajara;Residentes en España;Mayo;2,27
Guadalajara;Residentes en España;Junio;2,47
Guadalajara;Residentes en España;Julio;2,66
Guadalajara;Residentes en España;Agosto;3,35
Guadalajara;Residentes en España;Septiembre;2,19
Guadalajara;Residentes en España;Octubre;2,17
Guadalajara;Residentes en España;Noviembre;2,26
Guadalajara;Residentes en España;Diciembre;2,58
Guadalajara;No Residentes en España;Total;2,21
Guadalajara;No Residentes en España;Enero;1,34
Guadalajara;No Residentes en España;Febrero;1,53
Guadalajara;No Residentes en España;Marzo;3,3
Guadalajara;No Residentes en España;Abril;1,93
Guadalajara;No Residentes en España;Mayo;1,46
Guadalajara;No Residentes en España;Junio;1,93
Guadalajara;No Residentes en España;Julio;2,9
Guadalajara;No Residentes en España;Agosto;3,14
Guadalajara;No Residentes en España;Septiembre;2,05
Guadalajara;No Residentes en España;Octubre;3,58
Guadalajara;No Residentes en España;Noviembre;1,65
Guadalajara;No Residentes en España;Diciembre;1,67
Huelva;Total;Total;2,66
Huelva;Total;Enero;2,12
Huelva;Total;Febrero;2,49
Huelva;Total;Marzo;2,66
Huelva;Total;Abril;3,39
Huelva;Total;Mayo;2,62
Huelva;Total;Junio;3,25
Huelva;Total;Julio;2,96
Huelva;Total;Agosto;3,69
Huelva;Total;Septiembre;2,54
Huelva;Total;Octubre;1,9
Huelva;Total;Noviembre;1,84
Huelva;Total;Diciembre;2,46
Huelva;Residentes en España;Total;2,52
Huelva;Residentes en España;Enero;2,13
Huelva;Residentes en España;Febrero;2,3
Huelva;Residentes en España;Marzo;2,38
Huelva;Residentes en España;Abril;3,39
Huelva;Residentes en España;Mayo;2,33
Huelva;Residentes en España;Junio;3,28
Huelva;Residentes en España;Julio;2,87
Huelva;Residentes en España;Agosto;3,52
Huelva;Residentes en España;Septiembre;2,41
Huelva;Residentes en España;Octubre;1,75
Huelva;Residentes en España;Noviembre;1,81
Huelva;Residentes en España;Diciembre;2,3
Huelva;No Residentes en España;Total;4,04
Huelva;No Residentes en España;Enero;1,78
Huelva;No Residentes en España;Febrero;5,96
Huelva;No Residentes en España;Marzo;4,55
Huelva;No Residentes en España;Abril;3,4
Huelva;No Residentes en España;Mayo;4,28
Huelva;No Residentes en España;Junio;2,99
Huelva;No Residentes en España;Julio;4,86
Huelva;No Residentes en España;Agosto;5,67
Huelva;No Residentes en España;Septiembre;3,47
Huelva;No Residentes en España;Octubre;3,5
Huelva;No Residentes en España;Noviembre;2,37
Huelva;No Residentes en España;Diciembre;6
Huesca;Total;Total;3,04
Huesca;Total;Enero;2,81
Huesca;Total;Febrero;2,52
Huesca;Total;Marzo;2,36
Huesca;Total;Abril;2,78
Huesca;Total;Mayo;2,63
Huesca;Total;Junio;2,7
Huesca;Total;Julio;3,59
Huesca;Total;Agosto;4,12
Huesca;Total;Septiembre;2,6
Huesca;Total;Octubre;2,65
Huesca;Total;Noviembre;2,39
Huesca;Total;Diciembre;2,97
Huesca;Residentes en España;Total;3,04
Huesca;Residentes en España;Enero;2,86
Huesca;Residentes en España;Febrero;2,48
Huesca;Residentes en España;Marzo;2,38
Huesca;Residentes en España;Abril;2,77
Huesca;Residentes en España;Mayo;2,59
Huesca;Residentes en España;Junio;2,73
Huesca;Residentes en España;Julio;3,58
Huesca;Residentes en España;Agosto;4,28
Huesca;Residentes en España;Septiembre;2,71
Huesca;Residentes en España;Octubre;2,71
Huesca;Residentes en España;Noviembre;2,45
Huesca;Residentes en España;Diciembre;2,95
Huesca;No Residentes en España;Total;3,02
Huesca;No Residentes en España;Enero;2,08
Huesca;No Residentes en España;Febrero;3,15
Huesca;No Residentes en España;Marzo;1,79
Huesca;No Residentes en España;Abril;2,96
Huesca;No Residentes en España;Mayo;2,77
Huesca;No Residentes en España;Junio;2,59
Huesca;No Residentes en España;Julio;3,64
Huesca;No Residentes en España;Agosto;3,58
Huesca;No Residentes en España;Septiembre;2,08
Huesca;No Residentes en España;Octubre;2,08
Huesca;No Residentes en España;Noviembre;1,7
Huesca;No Residentes en España;Diciembre;4,32
Jaén;Total;Total;2,7
Jaén;Total;Enero;2,52
Jaén;Total;Febrero;2,01
Jaén;Total;Marzo;2,19
Jaén;Total;Abril;2,45
Jaén;Total;Mayo;2,22
Jaén;Total;Junio;2,52
Jaén;Total;Julio;2,88
Jaén;Total;Agosto;4,07
Jaén;Total;Septiembre;2,91
Jaén;Total;Octubre;2,43
Jaén;Total;Noviembre;2,38
Jaén;Total;Diciembre;2,42
Jaén;Residentes en España;Total;2,65
Jaén;Residentes en España;Enero;2,51
Jaén;Residentes en España;Febrero;1,99
Jaén;Residentes en España;Marzo;2,2
Jaén;Residentes en España;Abril;2,48
Jaén;Residentes en España;Mayo;2,01
Jaén;Residentes en España;Junio;2,43
Jaén;Residentes en España;Julio;2,9
Jaén;Residentes en España;Agosto;3,92
Jaén;Residentes en España;Septiembre;2,88
Jaén;Residentes en España;Octubre;2,37
Jaén;Residentes en España;Noviembre;2,42
Jaén;Residentes en España;Diciembre;2,4
Jaén;No Residentes en España;Total;3,35
Jaén;No Residentes en España;Enero;4
Jaén;No Residentes en España;Febrero;2,44
Jaén;No Residentes en España;Marzo;1,5
Jaén;No Residentes en España;Abril;2,05
Jaén;No Residentes en España;Mayo;3,59
Jaén;No Residentes en España;Junio;3,53
Jaén;No Residentes en España;Julio;2,6
Jaén;No Residentes en España;Agosto;5,03
Jaén;No Residentes en España;Septiembre;3,09
Jaén;No Residentes en España;Octubre;2,91
Jaén;No Residentes en España;Noviembre;1,75
Jaén;No Residentes en España;Diciembre;3,51
León;Total;Total;2,33
León;Total;Enero;2,74
León;Total;Febrero;2,73
León;Total;Marzo;2,15
León;Total;Abril;2,33
León;Total;Mayo;1,77
León;Total;Junio;1,89
León;Total;Julio;2,58
León;Total;Agosto;3,21
León;Total;Septiembre;1,86
León;Total;Octubre;1,91
León;Total;Noviembre;2,13
León;Total;Diciembre;2,46
León;Residentes en España;Total;2,5
León;Residentes en España;Enero;2,75
León;Residentes en España;Febrero;2,76
León;Residentes en España;Marzo;2,18
León;Residentes en España;Abril;2,47
León;Residentes en España;Mayo;1,99
León;Residentes en España;Junio;2,09
León;Residentes en España;Julio;2,74
León;Residentes en España;Agosto;3,42
León;Residentes en España;Septiembre;2,08
León;Residentes en España;Octubre;1,97
León;Residentes en España;Noviembre;2,14
León;Residentes en España;Diciembre;2,46
León;No Residentes en España;Total;1,44
León;No Residentes en España;Enero;2,45
León;No Residentes en España;Febrero;2,09
León;No Residentes en España;Marzo;1,44
León;No Residentes en España;Abril;1,36
León;No Residentes en España;Mayo;1,18
León;No Residentes en España;Junio;1,28
León;No Residentes en España;Julio;1,7
León;No Residentes en España;Agosto;1,65
León;No Residentes en España;Septiembre;1,35
León;No Residentes en España;Octubre;1,45
León;No Residentes en España;Noviembre;2,03
León;No Residentes en España;Diciembre;2,33
Lleida;Total;Total;2,63
Lleida;Total;Enero;2,5
Lleida;Total;Febrero;2,06
Lleida;Total;Marzo;1,92
Lleida;Total;Abril;2,5
Lleida;Total;Mayo;2,1
Lleida;Total;Junio;2,46
Lleida;Total;Julio;2,75
Lleida;Total;Agosto;4,4
Lleida;Total;Septiembre;2,05
Lleida;Total;Octubre;2,45
Lleida;Total;Noviembre;2,07
Lleida;Total;Diciembre;2,72
Lleida;Residentes en España;Total;2,58
Lleida;Residentes en España;Enero;2,49
Lleida;Residentes en España;Febrero;2,03
Lleida;Residentes en España;Marzo;1,92
Lleida;Residentes en España;Abril;2,5
Lleida;Residentes en España;Mayo;2,09
Lleida;Residentes en España;Junio;2,44
Lleida;Residentes en España;Julio;2,6
Lleida;Residentes en España;Agosto;4,5
Lleida;Residentes en España;Septiembre;2,03
Lleida;Residentes en España;Octubre;2,3
Lleida;Residentes en España;Noviembre;2,09
Lleida;Residentes en España;Diciembre;2,71
Lleida;No Residentes en España;Total;3,39
Lleida;No Residentes en España;Enero;2,96
Lleida;No Residentes en España;Febrero;3,51
Lleida;No Residentes en España;Marzo;2
Lleida;No Residentes en España;Abril;2,4
Lleida;No Residentes en España;Mayo;2,25
Lleida;No Residentes en España;Junio;2,75
Lleida;No Residentes en España;Julio;4,15
Lleida;No Residentes en España;Agosto;3,93
Lleida;No Residentes en España;Septiembre;2,23
Lleida;No Residentes en España;Octubre;3,93
Lleida;No Residentes en España;Noviembre;1,92
Lleida;No Residentes en España;Diciembre;3
Lugo;Total;Total;1,86
Lugo;Total;Enero;1,98
Lugo;Total;Febrero;1,89
Lugo;Total;Marzo;1,75
Lugo;Total;Abril;1,66
Lugo;Total;Mayo;1,32
Lugo;Total;Junio;1,49
Lugo;Total;Julio;2,16
Lugo;Total;Agosto;2,45
Lugo;Total;Septiembre;1,68
Lugo;Total;Octubre;1,49
Lugo;Total;Noviembre;1,58
Lugo;Total;Diciembre;2,26
Lugo;Residentes en España;Total;2,08
Lugo;Residentes en España;Enero;2,01
Lugo;Residentes en España;Febrero;1,88
Lugo;Residentes en España;Marzo;1,75
Lugo;Residentes en España;Abril;1,76
Lugo;Residentes en España;Mayo;1,49
Lugo;Residentes en España;Junio;1,71
Lugo;Residentes en España;Julio;2,36
Lugo;Residentes en España;Agosto;2,68
Lugo;Residentes en España;Septiembre;1,97
Lugo;Residentes en España;Octubre;1,7
Lugo;Residentes en España;Noviembre;1,67
Lugo;Residentes en España;Diciembre;2,26
Lugo;No Residentes en España;Total;1,35
Lugo;No Residentes en España;Enero;1,65
Lugo;No Residentes en España;Febrero;2,14
Lugo;No Residentes en España;Marzo;1,53
Lugo;No Residentes en España;Abril;1,34
Lugo;No Residentes en España;Mayo;1,1
Lugo;No Residentes en España;Junio;1,13
Lugo;No Residentes en España;Julio;1,65
Lugo;No Residentes en España;Agosto;1,73
Lugo;No Residentes en España;Septiembre;1,22
Lugo;No Residentes en España;Octubre;1,14
Lugo;No Residentes en España;Noviembre;1,05
Lugo;No Residentes en España;Diciembre;2,32
Madrid;Total;Total;1,95
Madrid;Total;Enero;1,86
Madrid;Total;Febrero;1,81
Madrid;Total;Marzo;1,77
Madrid;Total;Abril;1,89
Madrid;Total;Mayo;1,95
Madrid;Total;Junio;1,93
Madrid;Total;Julio;2,09
Madrid;Total;Agosto;2,53
Madrid;Total;Septiembre;1,77
Madrid;Total;Octubre;1,79
Madrid;Total;Noviembre;1,82
Madrid;Total;Diciembre;2,13
Madrid;Residentes en España;Total;1,94
Madrid;Residentes en España;Enero;1,86
Madrid;Residentes en España;Febrero;1,79
Madrid;Residentes en España;Marzo;1,77
Madrid;Residentes en España;Abril;1,88
Madrid;Residentes en España;Mayo;1,97
Madrid;Residentes en España;Junio;1,9
Madrid;Residentes en España;Julio;2,07
Madrid;Residentes en España;Agosto;2,44
Madrid;Residentes en España;Septiembre;1,77
Madrid;Residentes en España;Octubre;1,79
Madrid;Residentes en España;Noviembre;1,82
Madrid;Residentes en España;Diciembre;2,15
Madrid;No Residentes en España;Total;2,16
Madrid;No Residentes en España;Enero;1,88
Madrid;No Residentes en España;Febrero;2,63
Madrid;No Residentes en España;Marzo;1,76
Madrid;No Residentes en España;Abril;1,97
Madrid;No Residentes en España;Mayo;1,77
Madrid;No Residentes en España;Junio;2,29
Madrid;No Residentes en España;Julio;2,43
Madrid;No Residentes en España;Agosto;3,78
Madrid;No Residentes en España;Septiembre;1,69
Madrid;No Residentes en España;Octubre;1,76
Madrid;No Residentes en España;Noviembre;1,81
Madrid;No Residentes en España;Diciembre;2,02
Málaga;Total;Total;4,27
Málaga;Total;Enero;4,43
Málaga;Total;Febrero;3,34
Málaga;Total;Marzo;3,9
Málaga;Total;Abril;3,84
Málaga;Total;Mayo;3,31
Málaga;Total;Junio;4,3
Málaga;Total;Julio;5,5
Málaga;Total;Agosto;5,24
Málaga;Total;Septiembre;4,2
Málaga;Total;Octubre;3,87
Málaga;Total;Noviembre;3,07
Málaga;Total;Diciembre;2,83
Málaga;Residentes en España;Total;3,25
Málaga;Residentes en España;Enero;2,99
Málaga;Residentes en España;Febrero;2,57
Málaga;Residentes en España;Marzo;2,24
Málaga;Residentes en España;Abril;2,81
Málaga;Residentes en España;Mayo;2,25
Málaga;Residentes en España;Junio;2,95
Málaga;Residentes en España;Julio;4,87
Málaga;Residentes en España;Agosto;4,11
Málaga;Residentes en España;Septiembre;3,17
Málaga;Residentes en España;Octubre;2,31
Málaga;Residentes en España;Noviembre;2,39
Málaga;Residentes en España;Diciembre;2,53
Málaga;No Residentes en España;Total;5,46
Málaga;No Residentes en España;Enero;6,34
Málaga;No Residentes en España;Febrero;4,54
Málaga;No Residentes en España;Marzo;4,97
Málaga;No Residentes en España;Abril;4,92
Málaga;No Residentes en España;Mayo;4,08
Málaga;No Residentes en España;Junio;5,86
Málaga;No Residentes en España;Julio;6,26
Málaga;No Residentes en España;Agosto;6,65
Málaga;No Residentes en España;Septiembre;5,05
Málaga;No Residentes en España;Octubre;5,56
Málaga;No Residentes en España;Noviembre;4,4
Málaga;No Residentes en España;Diciembre;4,08
Murcia;Total;Total;2,81
Murcia;Total;Enero;2,59
Murcia;Total;Febrero;2,32
Murcia;Total;Marzo;2,24
Murcia;Total;Abril;2,41
Murcia;Total;Mayo;2,36
Murcia;Total;Junio;2,47
Murcia;Total;Julio;4,41
Murcia;Total;Agosto;5,78
Murcia;Total;Septiembre;2,55
Murcia;Total;Octubre;2,2
Murcia;Total;Noviembre;1,9
Murcia;Total;Diciembre;2,14
Murcia;Residentes en España;Total;2,71
Murcia;Residentes en España;Enero;2,61
Murcia;Residentes en España;Febrero;2,27
Murcia;Residentes en España;Marzo;2,17
Murcia;Residentes en España;Abril;2,34
Murcia;Residentes en España;Mayo;2,3
Murcia;Residentes en España;Junio;2,36
Murcia;Residentes en España;Julio;4,14
Murcia;Residentes en España;Agosto;5,5
Murcia;Residentes en España;Septiembre;2,45
Murcia;Residentes en España;Octubre;2,02
Murcia;Residentes en España;Noviembre;1,84
Murcia;Residentes en España;Diciembre;2,14
Murcia;No Residentes en España;Total;3,89
Murcia;No Residentes en España;Enero;2,38
Murcia;No Residentes en España;Febrero;2,85
Murcia;No Residentes en España;Marzo;2,96
Murcia;No Residentes en España;Abril;2,98
Murcia;No Residentes en España;Mayo;2,9
Murcia;No Residentes en España;Junio;3,64
Murcia;No Residentes en España;Julio;7,13
Murcia;No Residentes en España;Agosto;8,42
Murcia;No Residentes en España;Septiembre;4,36
Murcia;No Residentes en España;Octubre;5,03
Murcia;No Residentes en España;Noviembre;2,32
Murcia;No Residentes en España;Diciembre;2,04
Navarra;Total;Total;3,3
Navarra;Total;Enero;3,05
Navarra;Total;Febrero;3,09
Navarra;Total;Marzo;2,96
Navarra;Total;Abril;3,27
Navarra;Total;Mayo;2,62
Navarra;Total;Junio;2,71
Navarra;Total;Julio;3,86
Navarra;Total;Agosto;5,11
Navarra;Total;Septiembre;2,81
Navarra;Total;Octubre;2,74
Navarra;Total;Noviembre;2,62
Navarra;Total;Diciembre;2,99
Navarra;Residentes en España;Total;3,12
Navarra;Residentes en España;Enero;2,52
Navarra;Residentes en España;Febrero;2,69
Navarra;Residentes en España;Marzo;2,51
Navarra;Residentes en España;Abril;3,12
Navarra;Residentes en España;Mayo;2,34
Navarra;Residentes en España;Junio;2,59
Navarra;Residentes en España;Julio;3,69
Navarra;Residentes en España;Agosto;5
Navarra;Residentes en España;Septiembre;2,76
Navarra;Residentes en España;Octubre;2,66
Navarra;Residentes en España;Noviembre;2,4
Navarra;Residentes en España;Diciembre;2,8
Navarra;No Residentes en España;Total;4,89
Navarra;No Residentes en España;Enero;9,56
Navarra;No Residentes en España;Febrero;10,79
Navarra;No Residentes en España;Marzo;7,85
Navarra;No Residentes en España;Abril;6,17
Navarra;No Residentes en España;Mayo;4,08
Navarra;No Residentes en España;Junio;3,5
Navarra;No Residentes en España;Julio;4,97
Navarra;No Residentes en España;Agosto;6,33
Navarra;No Residentes en España;Septiembre;3,09
Navarra;No Residentes en España;Octubre;3,54
Navarra;No Residentes en España;Noviembre;5,09
Navarra;No Residentes en España;Diciembre;6,65
Ourense;Total;Total;1,86
Ourense;Total;Enero;1,42
Ourense;Total;Febrero;1,5
Ourense;Total;Marzo;1,5
Ourense;Total;Abril;1,99
Ourense;Total;Mayo;1,57
Ourense;Total;Junio;1,68
Ourense;Total;Julio;1,98
Ourense;Total;Agosto;2,39
Ourense;Total;Septiembre;1,85
Ourense;Total;Octubre;1,7
Ourense;Total;Noviembre;1,49
Ourense;Total;Diciembre;1,77
Ourense;Residentes en España;Total;1,87
Ourense;Residentes en España;Enero;1,42
Ourense;Residentes en España;Febrero;1,51
Ourense;Residentes en España;Marzo;1,49
Ourense;Residentes en España;Abril;2,04
Ourense;Residentes en España;Mayo;1,6
Ourense;Residentes en España;Junio;1,7
Ourense;Residentes en España;Julio;1,97
Ourense;Residentes en España;Agosto;2,4
Ourense;Residentes en España;Septiembre;1,88
Ourense;Residentes en España;Octubre;1,71
Ourense;Residentes en España;Noviembre;1,52
Ourense;Residentes en España;Diciembre;1,79
Ourense;No Residentes en España;Total;1,78
Ourense;No Residentes en España;Enero;1,53
Ourense;No Residentes en España;Febrero;1,23
Ourense;No Residentes en España;Marzo;1,64
Ourense;No Residentes en España;Abril;1,7
Ourense;No Residentes en España;Mayo;1,4
Ourense;No Residentes en España;Junio;1,55
Ourense;No Residentes en España;Julio;2,03
Ourense;No Residentes en España;Agosto;2,32
Ourense;No Residentes en España;Septiembre;1,68
Ourense;No Residentes en España;Octubre;1,59
Ourense;No Residentes en España;Noviembre;1,24
Ourense;No Residentes en España;Diciembre;1,47
Palencia;Total;Total;2,41
Palencia;Total;Enero;2,04
Palencia;Total;Febrero;2,25
Palencia;Total;Marzo;2,08
Palencia;Total;Abril;2,49
Palencia;Total;Mayo;1,93
Palencia;Total;Junio;1,89
Palencia;Total;Julio;2,66
Palencia;Total;Agosto;3,5
Palencia;Total;Septiembre;1,84
Palencia;Total;Octubre;2,03
Palencia;Total;Noviembre;2,23
Palencia;Total;Diciembre;2,75
Palencia;Residentes en España;Total;2,49
Palencia;Residentes en España;Enero;2,05
Palencia;Residentes en España;Febrero;2,15
Palencia;Residentes en España;Marzo;1,87
Palencia;Residentes en España;Abril;2,49
Palencia;Residentes en España;Mayo;2,02
Palencia;Residentes en España;Junio;1,97
Palencia;Residentes en España;Julio;2,69
Palencia;Residentes en España;Agosto;3,76
Palencia;Residentes en España;Septiembre;2,07
Palencia;Residentes en España;Octubre;2,05
Palencia;Residentes en España;Noviembre;2,24
Palencia;Residentes en España;Diciembre;2,78
Palencia;No Residentes en España;Total;1,78
Palencia;No Residentes en España;Enero;1,72
Palencia;No Residentes en España;Febrero;5,14
Palencia;No Residentes en España;Marzo;3,99
Palencia;No Residentes en España;Abril;2,45
Palencia;No Residentes en España;Mayo;1,33
Palencia;No Residentes en España;Junio;1,19
Palencia;No Residentes en España;Julio;2,43
Palencia;No Residentes en España;Agosto;1,56
Palencia;No Residentes en España;Septiembre;1,2
Palencia;No Residentes en España;Octubre;1,83
Palencia;No Residentes en España;Noviembre;1,61
Palencia;No Residentes en España;Diciembre;1,06
Palmas, Las;Total;Total;3,42
Palmas, Las;Total;Enero;3,36
Palmas, Las;Total;Febrero;3,2
Palmas, Las;Total;Marzo;3,33
Palmas, Las;Total;Abril;3,76
Palmas, Las;Total;Mayo;3,07
Palmas, Las;Total;Junio;3,32
Palmas, Las;Total;Julio;3,68
Palmas, Las;Total;Agosto;4,06
Palmas, Las;Total;Septiembre;3,24
Palmas, Las;Total;Octubre;3,19
